"dist","mpc1","mpc2","mpc3"
1141,368.681778478286,358.869927689685,440.434600521357
1151,368.377087489881,358.869927689685,439.933233182319
1161,368.081858182093,358.869927689685,439.438719003648
1171,367.795796737895,358.869927689685,438.950915586088
1181,367.518618464268,358.869927689685,438.469684450402
1191,367.25004750887,358.869927689685,437.994890904315
1201,366.989816585503,358.869927689685,437.526403914785
1211,366.737666708104,358.869927689685,437.064095985358
1221,366.493346933,358.869927689685,436.607843038372
1231,366.256614109161,358.869927689685,436.157524301793
1241,366.027232636219,358.869927689685,435.713022200469
1251,365.804974229985,358.869927689685,435.274222251623
1261,365.589617695268,358.869927689685,434.841012964361
1271,365.380948705728,358.869927689685,434.413285743061
1281,365.178759590581,358.869927689685,433.990934794431
1291,364.98284912792,358.869927689685,433.573857038108
1301,364.793022344453,358.869927689685,433.161952020624
1311,364.609090321468,358.869927689685,432.755121832595
1321,364.430870006813,358.869927689685,432.35327102901
1331,364.258184032722,358.869927689685,431.956306552468
1341,364.090860539294,358.869927689685,431.564137659244
1351,363.928733003459,358.869927689685,431.176675848074
1361,363.771640073245,358.869927689685,430.793834791524
1371,363.619425407205,358.869927689685,430.41553026986
1381,363.471937518819,358.869927689685,430.041680107296
1391,363.329029625731,358.869927689685,429.672204110518
1401,363.190559503676,358.869927689685,429.307024009421
1411,363.056389344926,358.869927689685,428.946063399923
1421,362.92638562115,358.869927689685,428.589247688811
1431,362.80041895052,358.869927689685,428.236504040516
1441,362.678363968949,358.869927689685,427.88776132574
1451,362.560099205327,358.869927689685,427.542950071873
1461,362.445506960632,358.869927689685,427.202002415108
1471,362.33447319079,358.869927689685,426.864852054212
1481,362.226887393182,358.869927689685,426.531434205864
1491,362.122642496665,358.869927689685,426.201685561512
1501,362.021634755018,358.869927689685,425.875544245689
1511,361.923763643686,358.869927689685,425.552949775724
1521,361.828931759744,358.869927689685,425.233843022799
1531,361.73704472495,358.869927689685,424.918166174307
1541,361.64801109183,358.869927689685,424.60586269744
1551,361.561742252657,358.869927689685,424.29687730399
1561,361.478152351275,358.869927689685,423.991155916287
1571,361.39715819765,358.869927689685,423.688645634253
1581,361.318679185077,358.869927689685,423.389294703524
1591,361.242637209963,358.869927689685,423.093052484591
1601,361.168956594093,358.869927689685,422.799869422933
1611,361.097564009315,358.869927689685,422.509697020106
1621,361.028388404563,358.869927689685,422.222487805742
1631,360.961360935147,358.869927689685,421.938195310436
1641,360.896414894235,358.869927689685,421.656774039481
1651,360.833485646466,358.869927689685,421.378179447426
1661,360.772510563627,358.869927689685,421.102367913425
1671,360.713428962319,358.869927689685,420.829296717341
1681,360.656182043569,358.869927689685,420.558924016598
1691,360.600712834309,358.869927689685,420.291208823727
1701,360.546966130675,358.869927689685,420.026110984612
1711,360.494888443072,358.869927689685,419.76359115738
1721,360.444427942934,358.869927689685,419.503610791939
1731,360.395534411149,358.869927689685,419.246132110124
1741,360.348159188075,358.869927689685,418.991118086441
1751,360.302255125117,358.869927689685,418.738532429378
1761,360.257776537802,358.869927689685,418.488339563276
1771,360.214679160314,358.869927689685,418.240504610726
1781,360.17292010144,358.869927689685,417.994993375489
1791,360.132457801883,358.869927689685,417.751772325909
1801,360.093251992901,358.869927689685,417.510808578812
1811,360.055263656234,358.869927689685,417.272069883865
1821,360.018454985269,358.869927689685,417.035524608392
1831,359.982789347415,358.869927689685,416.801141722618
1841,359.948231247648,358.869927689685,416.568890785335
1851,359.914746293183,358.869927689685,416.338741929979
1861,359.882301159246,358.869927689685,416.110665851095
1871,359.850863555911,358.869927689685,415.884633791183
1881,359.820402195961,358.869927689685,415.660617527915
1891,359.790886763755,358.869927689685,415.438589361707
1901,359.762287885052,358.869927689685,415.218522103631
1911,359.734577097781,358.869927689685,415.000389063669
1921,359.707726823714,358.869927689685,414.78416403928
1931,359.68171034102,358.869927689685,414.569821304289
1941,359.656501757672,358.869927689685,414.357335598073
1951,359.632075985675,358.869927689685,414.146682115039
1961,359.608408716103,358.869927689685,413.937836494392
1971,359.585476394903,358.869927689685,413.730774810172
1981,359.563256199453,358.869927689685,413.52547356156
1991,359.541726015853,358.869927689685,413.321909663441
2001,359.520864416914,358.869927689685,413.120060437222
2011,359.50065064083,358.869927689685,412.919903601884
