"pa","mpc1","mpc2","mpc3"
1051,34072.5057927943,34072.5057927943,34072.5057927943
1061,34559.9476417427,34559.9476417427,34559.9476417427
1071,35049.6920243245,35049.6920243245,35049.6920243245
1081,35541.7281656365,35541.7281656365,35541.7281656365
1091,36036.0454406418,36036.0454406418,36036.0454406418
1101,36532.6333707276,36532.6333707276,36532.6333707276
1111,37031.4816203727,37031.4816203727,37031.4816203727
1121,37532.5799939199,37532.5799939199,37532.5799939199
1131,38035.9184324501,38035.9184324501,38035.9184324501
1141,38541.4870107524,38541.4870107524,38541.4870107524
1151,39049.2759343883,39049.2759343883,39049.2759343883
1161,39559.2755368447,39559.2755368447,39559.2755368447
1171,40071.4762767732,40071.4762767732,40071.4762767732
1181,40585.8687353123,40585.8687353123,40585.8687353123
1191,41102.4436134885,41102.4436134885,41102.4436134885
1201,41621.1917296946,41621.1917296946,41621.1917296946
1211,42142.1040172415,42142.1040172415,42142.1040172415
1221,42665.1715219803,42665.1715219803,42665.1715219803
1231,43190.3853999938,43190.3853999938,43190.3853999938
1241,43717.7369153528,43717.7369153528,43717.7369153528
1251,44247.2174379361,44247.2174379361,44247.2174379361
1261,44778.8184413122,44778.8184413122,44778.8184413122
1271,45312.5315006787,45312.5315006787,45312.5315006787
1281,45848.3482908599,45848.3482908599,45848.3482908599
1291,46386.2605843584,46386.2605843584,46386.2605843584
1301,46926.2602494595,46926.2602494595,46926.2602494595
1311,47468.3392483874,47468.3392483874,47468.3392483874
1321,48012.4896355105,48012.4896355105,48012.4896355105
1331,48558.7035555934,48558.7035555934,48558.7035555934
1341,49106.9732420967,49106.9732420967,49106.9732420967
1351,49657.2910155196,49657.2910155196,49657.2910155196
1361,50209.6492817865,50209.6492817865,50209.6492817865
1371,50764.0405306749,50764.0405306749,50764.0405306749
1381,51320.4573342834,51320.4573342834,51320.4573342834
1391,51878.8923455388,51878.8923455388,51878.8923455388
1401,52439.3382967406,52439.3382967406,52439.3382967406
1411,53001.7879981421,53001.7879981421,53001.7879981421
1421,53566.2343365669,53566.2343365669,53566.2343365669
1431,54132.6702740591,54132.6702740591,54132.6702740591
1441,54701.0888465668,54701.0888465668,54701.0888465668
1451,55271.4831626581,55271.4831626581,55271.4831626581
1461,55843.8464022671,55843.8464022671,55843.8464022671
1471,56418.1718154709,56418.1718154709,56418.1718154709
1481,56994.4527212956,56994.4527212956,56994.4527212956
1491,57572.6825065499,57572.6825065499,57572.6825065499
1501,58152.8546246872,58152.8546246872,58152.8546246872
1511,58734.9625946931,58734.9625946931,58734.9625946931
1521,59319,59319,59319
1531,59904.9604874254,59904.9604874254,59904.9604874254
1541,60492.8377661356,60492.8377661356,60492.8377661356
1551,61082.6256066322,61082.6256066322,61082.6256066322
1561,61674.3178397621,61674.3178397621,61674.3178397621
1571,62267.9083557494,62267.9083557494,62267.9083557494
1581,62863.3911032486,62863.3911032486,62863.3911032486
1591,63460.76008842,63460.76008842,63460.76008842
1601,64060.0093740237,64060.0093740237,64060.0093740237
1611,64661.1330785349,64661.1330785349,64661.1330785349
1621,65264.125375278,65264.125375278,65264.125375278
1631,65868.9804915789,65868.9804915789,65868.9804915789
1641,66475.6927079365,66475.6927079365,66475.6927079365
1651,67084.256357211,67084.256357211,67084.256357211
1661,67694.6658238299,67694.6658238299,67694.6658238299
1671,68306.9155430107,68306.9155430107,68306.9155430107
1681,68921,68921,68921
1691,69536.913729328,69536.913729328,69536.913729328
1701,70154.651314079,70154.651314079,70154.651314079
1711,70774.2073851767,70774.2073851767,70774.2073851767
1721,71395.5766206843,71395.5766206843,71395.5766206843
1731,72018.7537451184,72018.7537451184,72018.7537451184
1741,72643.7335287773,72643.7335287773,72643.7335287773
1751,73270.5107870827,73270.5107870827,73270.5107870827
1761,73899.0803799344,73899.0803799344,73899.0803799344
1771,74529.4372110779,74529.4372110779,74529.4372110779
1781,75161.5762274847,75161.5762274847,75161.5762274847
1791,75795.4924187448,75795.4924187448,75795.4924187448
1801,76431.1808164704,76431.1808164704,76431.1808164704
1811,77068.6364937125,77068.6364937125,77068.6364937125
1821,77707.8545643875,77707.8545643875,77707.8545643875
1831,78348.8301827156,78348.8301827156,78348.8301827156
1841,78991.5585426696,78991.5585426696,78991.5585426696
1851,79636.0348774347,79636.0348774347,79636.0348774347
1861,80282.2544588778,80282.2544588778,80282.2544588778
1871,80930.2125970271,80930.2125970271,80930.2125970271
1881,81579.9046395618,81579.9046395618,81579.9046395618
1891,82231.325971311,82231.325971311,82231.325971311
1901,82884.4720137614,82884.4720137614,82884.4720137614
1911,83539.3382245754,83539.3382245754,83539.3382245754
1921,84195.9200971164,84195.9200971164,84195.9200971164
1931,84854.213159984,84854.213159984,84854.213159984
1941,85514.2129765573,85514.2129765573,85514.2129765573
1951,86175.915144546,86175.915144546,86175.915144546
1961,86839.3152955503,86839.3152955503,86839.3152955503
1971,87504.4090946279,87504.4090946279,87504.4090946279
1981,88171.1922398694,88171.1922398694,88171.1922398694
1991,88839.6604619806,88839.6604619806,88839.6604619806
2001,89509.8095238729,89509.8095238729,89509.8095238729
2011,90181.6352202598,90181.6352202598,90181.6352202598
2021,90855.1333772616,90855.1333772616,90855.1333772616
2031,91530.2998520162,91530.2998520162,91530.2998520162
2041,92207.1305322967,92207.1305322967,92207.1305322967
2051,92885.6213361358,92885.6213361358,92885.6213361358
2061,93565.7682114565,93565.7682114565,93565.7682114565
2071,94247.5671357091,94247.5671357091,94247.5671357091
2081,94931.0141155144,94931.0141155144,94931.0141155144
2091,95616.1051863126,95616.1051863126,95616.1051863126
2101,96302.8364120185,96302.8364120185,96302.8364120185
2111,96991.2038846822,96991.2038846822,96991.2038846822
2121,97681.2037241557,97681.2037241557,97681.2037241557
2131,98372.8320777642,98372.8320777642,98372.8320777642
2141,99066.0851199844,99066.0851199844,99066.0851199844
2151,99760.9590521262,99760.9590521262,99760.9590521262
2161,100457.450102021,100457.450102021,100457.450102021
2171,101155.554523714,101155.554523714,101155.554523714
2181,101855.268597162,101855.268597162,101855.268597162
2191,102556.588627937,102556.588627937,102556.588627937
2201,103259.510946934,103259.510946934,103259.510946934
2211,103964.031910079,103964.031910079,103964.031910079
2221,104670.147898052,104670.147898052,104670.147898052
2231,105377.855316001,105377.855316001,105377.855316001
2241,106087.150593274,106087.150593274,106087.150593274
2251,106798.030183145,106798.030183145,106798.030183145
2261,107510.490562549,107510.490562549,107510.490562549
2271,108224.52823182,108224.52823182,108224.52823182
2281,108940.139714432,108940.139714432,108940.139714432
2291,109657.321556748,109657.321556748,109657.321556748
2301,110376.070327766,110376.070327766,110376.070327766
2311,111096.382618877,111096.382618877,111096.382618877
2321,111818.25504362,111818.25504362,111818.25504362
2331,112541.684237442,112541.684237442,112541.684237442
2341,113266.666857465,113266.666857465,113266.666857465
2351,113993.199582256,113993.199582256,113993.199582256
2361,114721.279111593,114721.279111593,114721.279111593
2371,115450.902166246,115450.902166246,115450.902166246
2381,116182.065487751,116182.065487751,116182.065487751
2391,116914.765838195,116914.765838195,116914.765838195
2401,117649,117649,117649
2411,118384.764775709,118384.764775709,118384.764775709
2421,119122.05698778,119122.05698778,119122.05698778
2431,119860.873478379,119860.873478379,119860.873478379
2441,120601.211109176,120601.211109176,120601.211109176
2451,121343.066761146,121343.066761146,121343.066761146
2461,122086.437334374,122086.437334374,122086.437334374
2471,122831.319747856,122831.319747856,122831.319747856
2481,123577.710939311,123577.710939311,123577.710939311
2491,124325.607864993,124325.607864993,124325.607864993
2501,125075.0074995,125075.0074995,125075.0074995
2511,125825.906835596,125825.906835596,125825.906835596
2521,126578.302884025,126578.302884025,126578.302884025
2531,127332.192673338,127332.192673338,127332.192673338
2541,128087.573249711,128087.573249711,128087.573249711
2551,128844.441676775,128844.441676775,128844.441676775
2561,129602.795035447,129602.795035447,129602.795035447
2571,130362.630423753,130362.630423753,130362.630423753
2581,131123.944956671,131123.944956671,131123.944956671
2591,131886.735765959,131886.735765959,131886.735765959
2601,132651,132651,132651
2611,133416.734823634,133416.734823634,133416.734823634
2621,134183.937418008,134183.937418008,134183.937418008
2631,134952.604980415,134952.604980415,134952.604980415
2641,135722.734724143,135722.734724143,135722.734724143
2651,136494.323878321,136494.323878321,136494.323878321
2661,137267.369687774,137267.369687774,137267.369687774
2671,138041.869412871,138041.869412871,138041.869412871
2681,138817.82032938,138817.82032938,138817.82032938
2691,139595.219728327,139595.219728327,139595.219728327
2701,140374.064915853,140374.064915853,140374.064915853
2711,141154.35321307,141154.35321307,141154.35321307
2721,141936.081955928,141936.081955928,141936.081955928
2731,142719.248495079,142719.248495079,142719.248495079
2741,143503.850195735,143503.850195735,143503.850195735
2751,144289.884437545,144289.884437545,144289.884437545
2761,145077.348614455,145077.348614455,145077.348614455
2771,145866.240134584,145866.240134584,145866.240134584
2781,146656.556420093,146656.556420093,146656.556420093
2791,147448.294907062,147448.294907062,147448.294907062
2801,148241.453045361,148241.453045361,148241.453045361
2811,149036.028298529,149036.028298529,149036.028298529
2821,149832.018143653,149832.018143653,149832.018143653
2831,150629.420071246,150629.420071246,150629.420071246
2841,151428.231585131,151428.231585131,151428.231585131
2851,152228.450202319,152228.450202319,152228.450202319
2861,153030.0734529,153030.0734529,153030.0734529
2871,153833.098879922,153833.098879922,153833.098879922
2881,154637.524039284,154637.524039284,154637.524039284
2891,155443.346499617,155443.346499617,155443.346499617
2901,156250.563842183,156250.563842183,156250.563842183
2911,157059.173660758,157059.173660758,157059.173660758
2921,157869.173561528,157869.173561528,157869.173561528
2931,158680.561162986,158680.561162986,158680.561162986
2941,159493.334095817,159493.334095817,159493.334095817
2951,160307.490002807,160307.490002807,160307.490002807
2961,161123.026538729,161123.026538729,161123.026538729
2971,161939.94137025,161939.94137025,161939.94137025
2981,162758.232175826,162758.232175826,162758.232175826
2991,163577.896645604,163577.896645604,163577.896645604
3001,164398.932481327,164398.932481327,164398.932481327
3011,165221.337396233,165221.337396233,165221.337396233
3021,166045.109114963,166045.109114963,166045.109114963
3031,166870.245373464,166870.245373464,166870.245373464
3041,167696.743918897,167696.743918897,167696.743918897
3051,168524.602509545,168524.602509545,168524.602509545
3061,169353.818914721,169353.818914721,169353.818914721
3071,170184.390914678,170184.390914678,170184.390914678
3081,171016.316300521,171016.316300521,171016.316300521
3091,171849.592874118,171849.592874118,171849.592874118
3101,172684.21844801,172684.21844801,172684.21844801
3111,173520.190845331,173520.190845331,173520.190845331
3121,174357.507899717,174357.507899717,174357.507899717
3131,175196.167455227,175196.167455227,175196.167455227
3141,176036.167366255,176036.167366255,176036.167366255
3151,176877.505497449,176877.505497449,176877.505497449
3161,177720.179723632,177720.179723632,177720.179723632
3171,178564.187929719,178564.187929719,178564.187929719
3181,179409.528010638,179409.528010638,179409.528010638
3191,180256.197871252,180256.197871252,180256.197871252
3201,181104.195426279,181104.195426279,181104.195426279
3211,181953.518600218,181953.518600218,181953.518600218
3221,182804.16532727,182804.16532727,182804.16532727
3231,183656.133551265,183656.133551265,183656.133551265
3241,184509.421225584,184509.421225584,184509.421225584
3251,185364.02631309,185364.02631309,185364.02631309
3261,186219.946786052,186219.946786052,186219.946786052
3271,187077.180626072,187077.180626072,187077.180626072
3281,187935.725824017,187935.725824017,187935.725824017
